530770948.2282794,533975409.6785405,537008281.51496,539857827.3611362
533975409.6785405,537008281.51496,539857827.3611362,542512154.3239979
537008281.51496,539857827.3611362,542512154.3239979,544632018.3168303
539857827.3611362,542512154.3239979,544632018.3168303,546606793.677514
542512154.3239979,544632018.3168303,546606793.677514,548447749.953065
544632018.3168303,546606793.677514,548447749.953065,550166066.6365744
546606793.677514,548447749.953065,550166066.6365744,551772833.4672986
548447749.953065,550166066.6365744,551772833.4672986,552224384.5300361
550166066.6365744,551772833.4672986,552224384.5300361,553241301.8296903
551772833.4672986,552224384.5300361,553241301.8296903,554267505.7135233
552224384.5300361,553241301.8296903,554267505.7135233,555326410.4984305
553241301.8296903,554267505.7135233,555326410.4984305,556441435.5115105
554267505.7135233,555326410.4984305,556441435.5115105,560658675.0933508
555326410.4984305,556441435.5115105,560658675.0933508,564902086.2440443
556441435.5115105,560658675.0933508,564902086.2440443,569201590.1178198
560658675.0933508,564902086.2440443,569201590.1178198,573570421.5201721
564902086.2440443,569201590.1178198,573570421.5201721,578021826.3352488
569201590.1178198,573570421.5201721,578021826.3352488,589442803.9358311
573570421.5201721,578021826.3352488,589442803.9358311,600750250.9937669
578021826.3352488,589442803.9358311,600750250.9937669,611975687.637624
